Material,Weight (kg),Transport Distance (km),Region,Virgin CO₂ (kg),Process CO₂ (kg),Transport CO₂ (kg),Net CO₂ Saved (kg)
Glass,2.92,75,USA,4.672,3.504,0.026,1.142
Glass,0.53,10,EU,0.848,0.583,0.001,0.264
Books,9.79,100,Germany,24.475,4.895,0.117,19.463
Clothes,6.4,75,USA,51.2,7.68,0.058,43.462
Plastic,4.68,75,EU,28.08,5.148,0.042,22.89
Glass,1.37,10,EU,2.192,1.507,0.002,0.683
Books,2.44,50,EU,6.1,2.684,0.015,3.401
Books,1.83,25,India,4.575,3.66,0.005,0.91
Clothes,6.54,75,India,52.32,13.08,0.059,39.181
E-waste,4.0,100,India,48.0,8.0,0.048,39.952
Clothes,8.49,50,India,67.92,16.98,0.051,50.889
Clothes,0.9,5,USA,7.2,1.08,0.001,6.119
Clothes,4.47,10,EU,35.76,4.917,0.005,30.838
Glass,1.02,50,Germany,1.632,0.51,0.006,1.116
Glass,3.5,75,Germany,5.6,1.75,0.032,3.819
Books,9.56,25,EU,23.9,10.516,0.029,13.355
Clothes,2.04,10,USA,16.32,2.448,0.002,13.87
Glass,3.05,100,USA,4.88,3.66,0.037,1.183
Books,1.99,5,EU,4.975,2.189,0.001,2.785
Glass,6.11,100,EU,9.776,6.721,0.073,2.982
Paper,1.95,5,India,5.265,3.9,0.001,1.364
Plastic,1.86,75,India,11.16,3.72,0.017,7.423
Clothes,5.22,5,EU,41.76,5.742,0.003,36.015
Paper,5.92,5,EU,15.984,6.512,0.004,9.468
Books,8.2,25,USA,20.5,9.84,0.025,10.635
Plastic,6.63,25,Germany,39.78,3.315,0.02,36.445
Clothes,9.67,5,USA,77.36,11.604,0.006,65.75
Glass,4.86,10,Germany,7.776,2.43,0.006,5.34
Paper,5.46,25,EU,14.742,6.006,0.016,8.72
Books,0.81,10,EU,2.025,0.891,0.001,1.133
Paper,7.41,5,EU,20.007,8.151,0.004,11.852
Clothes,4.76,100,EU,38.08,5.236,0.057,32.787
Paper,2.72,75,USA,7.344,3.264,0.024,4.056
Books,6.89,50,Germany,17.225,3.445,0.041,13.739
E-waste,2.67,25,USA,32.04,3.204,0.008,28.828
Books,2.1,10,Germany,5.25,1.05,0.003,4.197
Clothes,9.04,50,India,72.32,18.08,0.054,54.186
Clothes,5.26,50,India,42.08,10.52,0.032,31.528
Glass,9.81,50,USA,15.696,11.772,0.059,3.865
Clothes,4.86,5,Germany,38.88,2.43,0.003,36.447
Books,5.97,100,Germany,14.925,2.985,0.072,11.868
Clothes,1.77,100,EU,14.16,1.947,0.021,12.192
Paper,3.44,5,India,9.288,6.88,0.002,2.406
Paper,7.18,100,Germany,19.386,3.59,0.086,15.71
Plastic,1.58,100,EU,9.48,1.738,0.019,7.723
Clothes,5.07,75,USA,40.56,6.084,0.046,34.43
Paper,1.78,25,India,4.806,3.56,0.005,1.241
Clothes,3.05,5,India,24.4,6.1,0.002,18.298
Clothes,1.9,75,India,15.2,3.8,0.017,11.383
E-waste,3.68,100,USA,44.16,4.416,0.044,39.7
E-waste,8.84,5,Germany,106.08,4.42,0.005,101.655
Paper,5.12,100,India,13.824,10.24,0.061,3.523
Books,9.79,50,EU,24.475,10.769,0.059,13.647
Plastic,3.84,10,EU,23.04,4.224,0.005,18.811
Clothes,9.04,100,Germany,72.32,4.52,0.108,67.692
Plastic,8.57,100,USA,51.42,10.284,0.103,41.033
Clothes,2.08,10,Germany,16.64,1.04,0.002,15.598
Books,3.63,5,EU,9.075,3.993,0.002,5.08
Clothes,5.99,5,EU,47.92,6.589,0.004,41.327
Books,3.86,10,Germany,9.65,1.93,0.005,7.715
Clothes,8.63,50,EU,69.04,9.493,0.052,59.495
Books,5.27,50,India,13.175,10.54,0.032,2.603
Glass,1.54,25,USA,2.464,1.848,0.005,0.611
Glass,3.19,10,USA,5.104,3.828,0.004,1.272
Paper,8.7,75,India,23.49,17.4,0.078,6.012
Paper,7.37,100,EU,19.899,8.107,0.088,11.704
E-waste,2.31,5,India,27.72,4.62,0.001,23.099
Books,4.35,5,India,10.875,8.7,0.003,2.172
Paper,2.42,50,USA,6.534,2.904,0.015,3.615
E-waste,7.3,50,Germany,87.6,3.65,0.044,83.906
E-waste,2.74,50,EU,32.88,3.014,0.016,29.85
Clothes,5.43,25,EU,43.44,5.973,0.016,37.451
E-waste,8.54,75,Germany,102.48,4.27,0.077,98.133
Clothes,2.49,75,Germany,19.92,1.245,0.022,18.653
Books,7.66,50,India,19.15,15.32,0.046,3.784
Paper,0.82,5,India,2.214,1.64,0.0,0.574
Plastic,0.68,10,USA,4.08,0.816,0.001,3.263
E-waste,4.6,10,EU,55.2,5.06,0.006,50.134
Plastic,3.78,100,India,22.68,7.56,0.045,15.075
Paper,9.21,5,Germany,24.867,4.605,0.006,20.256
Plastic,7.46,5,Germany,44.76,3.73,0.004,41.026
Books,9.06,25,USA,22.65,10.872,0.027,11.751
Paper,1.76,50,India,4.752,3.52,0.011,1.221
Plastic,0.38,5,Germany,2.28,0.19,0.0,2.09
E-waste,2.4,5,EU,28.8,2.64,0.001,26.159
Clothes,4.57,5,USA,36.56,5.484,0.003,31.073
Clothes,7.16,5,USA,57.28,8.592,0.004,48.684
Plastic,7.0,10,EU,42.0,7.7,0.008,34.292
Plastic,0.82,75,USA,4.92,0.984,0.007,3.929
Clothes,1.61,100,EU,12.88,1.771,0.019,11.09
E-waste,8.77,50,Germany,105.24,4.385,0.053,100.802
Plastic,2.45,10,India,14.7,4.9,0.003,9.797
E-waste,9.46,75,Germany,113.52,4.73,0.085,108.705
Plastic,4.79,50,USA,28.74,5.748,0.029,22.963
Glass,6.02,50,USA,9.632,7.224,0.036,2.372
Paper,7.95,100,USA,21.465,9.54,0.095,11.83
Paper,8.74,100,EU,23.598,9.614,0.105,13.879
Clothes,2.81,25,USA,22.48,3.372,0.008,19.1
Glass,1.44,75,EU,2.304,1.584,0.013,0.707
Glass,1.61,100,USA,2.576,1.932,0.019,0.625
Plastic,0.61,5,India,3.66,1.22,0.0,2.44
Paper,3.96,5,India,10.692,7.92,0.002,2.77
Glass,2.32,25,EU,3.712,2.552,0.007,1.153
Plastic,1.99,10,EU,11.94,2.189,0.002,9.749
Glass,9.99,100,India,15.984,19.98,0.12,0.0
Clothes,7.99,75,India,63.92,15.98,0.072,47.868
Paper,7.3,5,USA,19.71,8.76,0.004,10.946
Books,9.54,50,USA,23.85,11.448,0.057,12.345
Books,6.83,5,India,17.075,13.66,0.004,3.411
Plastic,7.37,75,India,44.22,14.74,0.066,29.414
Paper,9.74,100,USA,26.298,11.688,0.117,14.493
Glass,1.88,75,EU,3.008,2.068,0.017,0.923
Books,1.65,25,EU,4.125,1.815,0.005,2.305
Paper,1.79,10,Germany,4.833,0.895,0.002,3.936
E-waste,4.87,50,Germany,58.44,2.435,0.029,55.976
Books,7.98,75,EU,19.95,8.778,0.072,11.1
Clothes,7.54,75,EU,60.32,8.294,0.068,51.958
Plastic,2.27,5,EU,13.62,2.497,0.001,11.122
Plastic,3.0,25,India,18.0,6.0,0.009,11.991
Clothes,0.91,5,EU,7.28,1.001,0.001,6.278
Clothes,5.88,75,India,47.04,11.76,0.053,35.227
Books,9.07,100,USA,22.675,10.884,0.109,11.682
Plastic,1.82,75,USA,10.92,2.184,0.016,8.72
Glass,8.82,50,India,14.112,17.64,0.053,0.0
Glass,6.18,5,USA,9.888,7.416,0.004,2.468
Books,3.98,50,India,9.95,7.96,0.024,1.966
Glass,1.99,50,India,3.184,3.98,0.012,0.0
E-waste,4.74,10,India,56.88,9.48,0.006,47.394
Paper,1.63,25,EU,4.401,1.793,0.005,2.603
Plastic,0.97,100,Germany,5.82,0.485,0.012,5.323
Paper,7.2,100,USA,19.44,8.64,0.086,10.714
Clothes,6.91,50,EU,55.28,7.601,0.041,47.638
E-waste,3.75,100,EU,45.0,4.125,0.045,40.83
Paper,7.33,50,Germany,19.791,3.665,0.044,16.082
Books,3.42,75,EU,8.55,3.762,0.031,4.757
Glass,9.54,100,Germany,15.264,4.77,0.114,10.38
Books,8.01,75,EU,20.025,8.811,0.072,11.142
Glass,0.49,100,EU,0.784,0.539,0.006,0.239
Paper,0.58,25,India,1.566,1.16,0.002,0.404
E-waste,5.57,50,India,66.84,11.14,0.033,55.667
Clothes,0.66,5,India,5.28,1.32,0.0,3.96
Books,1.6,50,EU,4.0,1.76,0.01,2.23
Books,8.56,5,India,21.4,17.12,0.005,4.275
E-waste,2.98,10,EU,35.76,3.278,0.004,32.478
Plastic,6.41,100,India,38.46,12.82,0.077,25.563
Plastic,7.44,50,EU,44.64,8.184,0.045,36.411
Paper,9.18,100,USA,24.786,11.016,0.11,13.66
Glass,4.83,5,EU,7.728,5.313,0.003,2.412
Plastic,7.05,25,USA,42.3,8.46,0.021,33.819
Paper,2.46,75,EU,6.642,2.706,0.022,3.914
Clothes,1.19,100,Germany,9.52,0.595,0.014,8.911
Plastic,1.46,50,EU,8.76,1.606,0.009,7.145
Clothes,9.7,75,EU,77.6,10.67,0.087,66.843
Paper,7.66,50,EU,20.682,8.426,0.046,12.21
Plastic,0.85,50,India,5.1,1.7,0.005,3.395
E-waste,3.88,50,USA,46.56,4.656,0.023,41.881
Books,4.8,50,EU,12.0,5.28,0.029,6.691
E-waste,1.98,10,India,23.76,3.96,0.002,19.798
Clothes,1.91,10,EU,15.28,2.101,0.002,13.177
Glass,5.45,75,India,8.72,10.9,0.049,0.0
Books,9.78,50,Germany,24.45,4.89,0.059,19.501
Plastic,1.63,25,India,9.78,3.26,0.005,6.515
E-waste,4.14,50,EU,49.68,4.554,0.025,45.101
Paper,6.43,5,USA,17.361,7.716,0.004,9.641
Books,1.05,5,USA,2.625,1.26,0.001,1.364
Clothes,6.25,25,EU,50.0,6.875,0.019,43.106
E-waste,8.19,75,USA,98.28,9.828,0.074,88.378
E-waste,3.48,25,India,41.76,6.96,0.01,34.79
E-waste,9.55,25,EU,114.6,10.505,0.029,104.066
Clothes,6.87,100,USA,54.96,8.244,0.082,46.634
Books,7.57,75,USA,18.925,9.084,0.068,9.773
E-waste,1.16,25,USA,13.92,1.392,0.003,12.525
Plastic,4.57,25,USA,27.42,5.484,0.014,21.922
Glass,5.43,100,EU,8.688,5.973,0.065,2.65
Clothes,4.55,25,EU,36.4,5.005,0.014,31.381
Plastic,6.13,25,Germany,36.78,3.065,0.018,33.697
Paper,9.01,5,EU,24.327,9.911,0.005,14.411
Clothes,7.29,50,EU,58.32,8.019,0.044,50.257
Glass,1.93,100,EU,3.088,2.123,0.023,0.942
Glass,9.93,50,USA,15.888,11.916,0.06,3.912
Glass,4.63,50,India,7.408,9.26,0.028,0.0
Clothes,2.05,100,USA,16.4,2.46,0.025,13.915
Plastic,5.48,75,India,32.88,10.96,0.049,21.871
Books,7.81,75,USA,19.525,9.372,0.07,10.083
Glass,5.99,75,Germany,9.584,2.995,0.054,6.535
Paper,8.99,75,USA,24.273,10.788,0.081,13.404
Paper,1.09,10,India,2.943,2.18,0.001,0.762
Glass,3.41,50,USA,5.456,4.092,0.02,1.344
Books,2.15,100,Germany,5.375,1.075,0.026,4.274
